,Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
76,DZ87709,Oregon,5592.161392,No,Basic,High School or Below,1/2/2011,Employed,F,71811,Rural,Single,71,17,48,0,6,Personal Auto,Personal L1,Offer2,Call Center,29.03416,Four-Door Car,Medsize
5727,VZ79366,California,4362.931238,Yes,Premium,College,3/1/2011,Employed,M,58842,Suburban,Married,110,6,74,0,1,Personal Auto,Personal L2,Offer2,Branch,528.0,Four-Door Car,Medsize
6116,JP88955,Oregon,8876.667487,No,Basic,High School or Below,6/2/2011,Employed,M,30525,Urban,Single,115,24,35,0,3,Personal Auto,Personal L2,Offer2,Call Center,368.022992,Sports Car,Small
3760,AZ84403,Oregon,61850.18803,No,Extended,College,4/2/2011,Unemployed,F,0,Suburban,Married,238,19,29,0,2,Personal Auto,Personal L1,Offer3,Branch,1142.4,Luxury SUV,Medsize
6598,QA71190,California,8083.917906,No,Premium,Bachelor,2/18/11,Employed,F,31506,Suburban,Married,102,23,50,0,8,Personal Auto,Personal L1,Offer1,Web,601.074585,Four-Door Car,Small
6700,JK53304,California,6159.011684,No,Extended,High School or Below,1/14/11,Employed,F,97658,Suburban,Married,76,7,82,1,3,Personal Auto,Personal L3,Offer1,Call Center,364.8,Four-Door Car,Medsize
4091,GS23406,California,2734.328157,No,Basic,High School or Below,1/20/11,Employed,F,30916,Rural,Single,70,6,50,0,1,Personal Auto,Personal L3,Offer3,Branch,21.143072,Four-Door Car,Medsize
1415,II83628,California,7396.719746,No,Basic,College,1/30/11,Employed,M,41045,Suburban,Single,64,9,28,1,2,Personal Auto,Personal L3,Offer2,Branch,394.582401,Four-Door Car,Medsize
4773,LG49010,California,2620.601718,No,Basic,Bachelor,9/2/2011,Medical Leave,M,10237,Urban,Married,72,31,97,0,1,Personal Auto,Personal L2,Offer2,Call Center,253.637853,Two-Door Car,Medsize
829,CB58476,Oregon,5170.811494,No,Basic,College,6/2/2011,Unemployed,F,0,Suburban,Single,71,5,20,0,5,Corporate Auto,Corporate L2,Offer1,Call Center,859.599411,Four-Door Car,Small
1982,IH54239,California,5089.694325,No,Basic,Master,1/2/2011,Employed,M,62474,Rural,Married,63,20,63,0,5,Personal Auto,Personal L3,Offer2,Branch,112.120881,Four-Door Car,Medsize
2549,AV25133,Oregon,3095.705571,No,Extended,College,12/1/2011,Unemployed,F,0,Suburban,Single,92,31,24,1,1,Personal Auto,Personal L3,Offer3,Web,774.892461,Two-Door Car,Small
2858,DQ93036,Arizona,7243.865476,No,Extended,High School or Below,11/1/2011,Employed,M,41951,Rural,Married,91,30,56,0,7,Personal Auto,Personal L1,Offer1,Branch,40.536151,Four-Door Car,Medsize
8066,OX62816,Washington,5167.357134,No,Basic,Master,1/23/11,Employed,M,30376,Suburban,Single,66,26,16,0,6,Personal Auto,Personal L1,Offer1,Web,316.8,Four-Door Car,Small
1949,CU19735,Arizona,8041.20055,No,Basic,High School or Below,2/24/11,Employed,M,44986,Suburban,Married,101,14,83,0,3,Corporate Auto,Corporate L1,Offer1,Call Center,624.023564,SUV,Medsize
7182,HU54636,California,3791.549972,No,Extended,College,1/30/11,Employed,F,41212,Urban,Married,95,13,27,0,1,Personal Auto,Personal L1,Offer4,Web,405.443681,Four-Door Car,Medsize
7712,UY61301,Nevada,2710.149379,No,Basic,Bachelor,4/1/2011,Unemployed,M,0,Suburban,Married,73,14,66,0,1,Personal Auto,Personal L1,Offer2,Agent,350.4,Four-Door Car,Medsize
3578,UL80763,Oregon,4014.453113,Yes,Extended,Doctor,8/1/2011,Employed,F,37384,Suburban,Married,99,9,17,0,1,Personal Auto,Personal L2,Offer2,Agent,475.2,Four-Door Car,Medsize
1034,PR31642,Oregon,4525.276524,No,Basic,Bachelor,1/29/11,Employed,F,32802,Suburban,Married,114,31,8,0,1,Personal Auto,Personal L1,Offer2,Call Center,547.2,SUV,Medsize
286,AF10970,Arizona,5973.14343,No,Basic,Bachelor,2/28/11,Employed,F,96163,Suburban,Married,73,23,90,0,3,Corporate Auto,Corporate L3,Offer1,Call Center,350.4,Four-Door Car,Medsize
6128,UF49068,California,7754.666388,No,Basic,College,2/22/11,Unemployed,M,0,Suburban,Single,117,2,36,0,3,Corporate Auto,Corporate L3,Offer3,Agent,918.655051,SUV,Medsize
7558,OP68330,Oregon,7247.495684,No,Extended,College,2/26/11,Unemployed,F,0,Suburban,Married,96,31,64,1,3,Personal Auto,Personal L2,Offer1,Agent,460.8,Four-Door Car,Large
392,AP98768,California,10442.44633,No,Extended,College,8/1/2011,Unemployed,F,0,Suburban,Single,98,9,50,0,2,Personal Auto,Personal L1,Offer1,Agent,941.718054,Four-Door Car,Small
4573,WD38067,California,10656.88195,Yes,Extended,Bachelor,2/27/11,Employed,F,72540,Suburban,Married,88,7,3,0,2,Personal Auto,Personal L2,Offer2,Call Center,631.743039,Two-Door Car,Medsize
1886,EZ74530,Nevada,3074.105486,No,Basic,High School or Below,8/1/2011,Unemployed,M,0,Suburban,Single,104,25,33,3,1,Personal Auto,Personal L2,Offer1,Web,748.8,Sports Car,Medsize
5174,DK26322,Washington,12321.83615,No,Basic,High School or Below,1/22/11,Medical Leave,M,26887,Suburban,Single,113,32,67,0,2,Special Auto,Special L3,Offer1,Web,542.4,SUV,Small
4689,HN10814,Arizona,4178.586494,No,Basic,Master,1/28/11,Employed,M,62113,Rural,Married,104,1,0,0,1,Personal Auto,Personal L3,Offer2,Web,5.894778,SUV,Medsize
8971,OY95386,California,8418.573784,No,Basic,Bachelor,5/2/2011,Unemployed,F,0,Suburban,Married,115,21,62,0,9,Personal Auto,Personal L2,Offer3,Branch,552.0,SUV,Medsize
8089,GY65868,California,20600.23958,No,Extended,Bachelor,2/18/11,Employed,M,64541,Urban,Married,86,16,43,0,2,Personal Auto,Personal L3,Offer3,Agent,256.279637,Four-Door Car,Small
3397,BE61743,Washington,4109.793608,No,Basic,Bachelor,1/28/11,Employed,M,86657,Urban,Married,103,22,51,0,1,Personal Auto,Personal L3,Offer3,Web,316.227946,Sports Car,Small
7373,FP10040,Oregon,8598.185237,No,Basic,High School or Below,1/23/11,Employed,M,38113,Urban,Married,73,4,34,0,2,Personal Auto,Personal L1,Offer3,Agent,203.640251,Four-Door Car,Large
1517,AQ46199,Oregon,4825.258632,No,Basic,High School or Below,7/1/2011,Unemployed,M,0,Suburban,Single,71,8,30,0,8,Personal Auto,Personal L2,Offer4,Web,511.2,Two-Door Car,Medsize
6902,QW44380,Washington,2637.602689,No,Basic,High School or Below,11/1/2011,Employed,M,54378,Suburban,Married,66,16,30,0,1,Personal Auto,Personal L2,Offer2,Call Center,316.8,Four-Door Car,Small
4663,OB66874,Oregon,2585.206268,No,Basic,College,12/1/2011,Employed,F,28137,Suburban,Married,65,23,2,0,1,Personal Auto,Personal L1,Offer3,Web,312.0,Two-Door Car,Large
3682,BN14307,Oregon,4692.660787,No,Basic,College,2/2/2011,Unemployed,M,0,Suburban,Single,69,24,23,0,8,Personal Auto,Personal L2,Offer2,Call Center,549.271947,Two-Door Car,Medsize
102,XK64261,Oregon,4762.8179,No,Basic,Bachelor,12/1/2011,Employed,M,65795,Rural,Single,62,2,85,1,3,Corporate Auto,Corporate L3,Offer3,Call Center,49.011099,Two-Door Car,Medsize
867,DK32872,Nevada,5234.331741,No,Extended,High School or Below,1/18/11,Employed,F,66957,Suburban,Married,131,31,4,1,1,Personal Auto,Personal L1,Offer2,Web,628.8,SUV,Medsize
3255,MM49431,Washington,7298.583562,No,Basic,Bachelor,8/1/2011,Employed,M,74069,Urban,Divorced,63,33,81,2,2,Personal Auto,Personal L3,Offer1,Agent,275.516438,Two-Door Car,Medsize
2417,FX12602,Oregon,19927.63513,No,Basic,High School or Below,1/30/11,Employed,M,51352,Rural,Divorced,66,21,87,3,2,Personal Auto,Personal L2,Offer1,Branch,95.661376,Four-Door Car,Medsize
227,CD88896,Nevada,2514.59196,Yes,Basic,High School or Below,2/14/11,Employed,F,43860,Rural,Single,65,15,58,0,1,Corporate Auto,Corporate L3,Offer2,Agent,156.124914,Four-Door Car,Medsize
8895,RN72721,California,8886.296424,No,Basic,High School or Below,1/21/11,Disabled,F,20903,Suburban,Married,117,4,40,0,8,Personal Auto,Personal L2,Offer4,Branch,561.6,SUV,Medsize
7865,ME35315,Washington,7756.307652,No,Basic,College,2/2/2011,Unemployed,M,0,Suburban,Single,74,24,63,0,2,Corporate Auto,Corporate L1,Offer1,Agent,532.8,Two-Door Car,Small
5412,II49996,Arizona,5555.830205,Yes,Basic,Bachelor,6/2/2011,Employed,M,74015,Suburban,Single,72,12,61,0,6,Personal Auto,Personal L1,Offer2,Call Center,471.443077,Four-Door Car,Small
1449,UD47050,Oregon,6005.214792,Yes,Extended,High School or Below,12/1/2011,Employed,M,26876,Suburban,Single,76,17,72,0,8,Corporate Auto,Corporate L2,Offer1,Agent,364.8,Four-Door Car,Medsize
3172,RR66500,California,2436.005997,No,Basic,Master,1/30/11,Employed,M,87462,Rural,Married,61,0,79,1,1,Corporate Auto,Corporate L2,Offer4,Call Center,51.294615,Four-Door Car,Medsize
6628,DO95670,Arizona,5073.282126,Yes,Extended,Doctor,1/30/11,Employed,M,57709,Suburban,Married,125,10,26,0,1,Personal Auto,Personal L3,Offer2,Branch,600.0,SUV,Medsize
5465,BZ81849,Arizona,7494.087341,No,Basic,Bachelor,6/2/2011,Unemployed,F,0,Suburban,Married,68,6,25,0,2,Personal Auto,Personal L3,Offer3,Call Center,326.4,Four-Door Car,Medsize
3891,MY32188,Oregon,2682.912454,No,Basic,Bachelor,1/20/11,Unemployed,M,0,Suburban,Single,74,24,33,0,1,Corporate Auto,Corporate L3,Offer1,Agent,355.2,Two-Door Car,Small
9073,XN28388,California,4130.382954,No,Basic,College,2/2/2011,Unemployed,F,0,Suburban,Single,66,30,29,2,3,Corporate Auto,Corporate L3,Offer1,Agent,523.030597,Four-Door Car,Small
7995,IZ17303,California,17002.02246,No,Extended,Bachelor,12/1/2011,Employed,M,97268,Rural,Married,85,23,88,0,2,Personal Auto,Personal L3,Offer1,Agent,35.278648,Four-Door Car,Medsize
599,FF58467,Arizona,5090.781344,No,Basic,Master,5/2/2011,Employed,F,93018,Rural,Divorced,63,5,90,0,3,Personal Auto,Personal L3,Offer3,Call Center,135.382194,Four-Door Car,Medsize
1289,FF68864,Arizona,14010.52742,No,Basic,Bachelor,1/28/11,Employed,F,36523,Rural,Married,71,28,67,0,2,Personal Auto,Personal L1,Offer2,Web,101.353875,Four-Door Car,Medsize
1006,KN21017,Nevada,3208.225911,No,Extended,High School or Below,1/21/11,Employed,M,52367,Urban,Married,81,25,64,0,1,Personal Auto,Personal L1,Offer2,Call Center,275.989978,Four-Door Car,Medsize
6140,PY64219,California,13024.13012,Yes,Extended,Master,1/31/11,Unemployed,M,0,Suburban,Single,125,6,61,0,2,Personal Auto,Personal L2,Offer1,Agent,900.0,SUV,Small
2233,FN98595,Nevada,7516.831717,No,Extended,High School or Below,2/20/11,Employed,F,31477,Rural,Married,94,22,77,0,3,Special Auto,Special L2,Offer2,Branch,146.950756,Four-Door Car,Medsize
2665,MD40054,Oregon,6369.262355,Yes,Extended,High School or Below,1/20/11,Employed,M,34498,Suburban,Single,83,30,72,0,7,Personal Auto,Personal L2,Offer2,Branch,398.4,Two-Door Car,Small
2138,NM57315,California,16979.79757,Yes,Basic,Bachelor,1/17/11,Employed,M,35095,Suburban,Divorced,73,25,56,0,2,Special Auto,Special L3,Offer2,Call Center,525.6,Two-Door Car,Small
2228,WB96917,California,9875.092794,No,Extended,College,3/1/2011,Employed,M,29598,Rural,Single,87,2,70,0,2,Personal Auto,Personal L1,Offer4,Call Center,150.926696,Two-Door Car,Medsize
3192,JZ63423,Arizona,5321.108879,No,Extended,College,1/13/11,Employed,M,67431,Suburban,Divorced,136,28,17,1,1,Personal Auto,Personal L3,Offer2,Call Center,652.8,SUV,Large
8463,CY12922,Arizona,2506.360995,No,Basic,College,1/31/11,Unemployed,M,0,Suburban,Single,73,8,19,0,1,Personal Auto,Personal L2,Offer2,Web,525.6,Four-Door Car,Small
2606,HO38996,Oregon,2430.801647,No,Basic,High School or Below,2/17/11,Unemployed,M,0,Suburban,Married,67,1,19,0,1,Special Auto,Special L2,Offer4,Call Center,321.6,Four-Door Car,Medsize
8590,JN10602,California,8201.330033,No,Basic,Master,12/2/2011,Employed,F,81785,Suburban,Divorced,67,12,44,0,2,Personal Auto,Personal L2,Offer1,Agent,321.6,Four-Door Car,Large
1695,YA11342,California,7672.681366,No,Premium,High School or Below,4/2/2011,Unemployed,M,0,Suburban,Married,103,17,56,0,4,Personal Auto,Personal L3,Offer3,Branch,518.720216,Four-Door Car,Medsize
7184,CB61335,California,6950.100195,No,Extended,High School or Below,5/2/2011,Employed,F,21687,Suburban,Married,88,10,68,0,8,Personal Auto,Personal L3,Offer2,Agent,603.100479,Four-Door Car,Medsize
682,NI44621,Oregon,9880.38582,No,Extended,Master,3/1/2011,Employed,F,36576,Rural,Married,125,11,73,1,3,Personal Auto,Personal L3,Offer1,Agent,113.450122,SUV,Medsize
3044,FO82261,Oregon,4603.975141,No,Basic,College,12/1/2011,Employed,M,66161,Urban,Single,118,19,86,0,1,Personal Auto,Personal L3,Offer2,Branch,457.593764,SUV,Medsize
8912,GY43856,California,4349.30875,Yes,Basic,College,10/2/2011,Employed,F,75648,Rural,Married,108,28,10,0,1,Corporate Auto,Corporate L3,Offer2,Branch,112.660916,SUV,Large
5956,RH28799,Arizona,2430.959055,No,Basic,College,2/23/11,Unemployed,M,0,Suburban,Single,70,29,30,0,1,Personal Auto,Personal L3,Offer2,Call Center,341.329847,Four-Door Car,Medsize
378,NV55438,Nevada,5285.26816,No,Basic,High School or Below,2/23/11,Retired,F,23422,Suburban,Single,72,25,76,0,3,Personal Auto,Personal L3,Offer2,Agent,518.4,Two-Door Car,Medsize
1055,KJ86296,Oregon,4556.592993,No,Basic,High School or Below,1/2/2011,Unemployed,M,0,Suburban,Single,73,24,40,2,9,Personal Auto,Personal L2,Offer1,Agent,525.6,Four-Door Car,Medsize
1903,HN38084,Nevada,11772.79068,No,Basic,High School or Below,10/1/2011,Employed,M,51008,Suburban,Married,74,5,95,0,2,Corporate Auto,Corporate L1,Offer3,Branch,355.2,Two-Door Car,Small
1749,EL61402,Arizona,6098.462114,No,Extended,Bachelor,5/1/2011,Employed,F,74257,Urban,Married,76,16,91,0,3,Personal Auto,Personal L3,Offer1,Agent,214.586742,Four-Door Car,Large
5275,CJ72056,California,8013.895125,No,Basic,Bachelor,1/17/11,Employed,M,65636,Suburban,Married,67,15,72,0,2,Personal Auto,Personal L2,Offer2,Call Center,321.6,Four-Door Car,Medsize
7463,BX70848,Washington,13727.79972,Yes,Extended,College,8/1/2011,Unemployed,M,0,Suburban,Single,126,12,4,0,2,Personal Auto,Personal L3,Offer1,Agent,604.8,SUV,Medsize
8765,TT97465,California,14642.14003,No,Basic,College,2/15/11,Employed,M,57561,Suburban,Married,62,18,57,1,2,Corporate Auto,Corporate L3,Offer1,Agent,298.430234,Four-Door Car,Medsize
7098,HP77890,Washington,14413.37774,No,Basic,College,11/2/2011,Employed,F,56457,Rural,Single,73,27,68,0,2,Personal Auto,Personal L2,Offer3,Web,138.460771,Four-Door Car,Large
3164,XN34686,Oregon,5640.021911,No,Basic,High School or Below,1/25/11,Employed,M,41396,Suburban,Married,70,7,7,0,3,Special Auto,Special L2,Offer2,Branch,336.0,Four-Door Car,Medsize
692,NG82219,Oregon,2582.408525,Yes,Basic,Bachelor,2/14/11,Employed,F,76731,Urban,Married,64,2,68,0,1,Personal Auto,Personal L3,Offer2,Agent,201.455005,Four-Door Car,Medsize
7056,CW57656,Oregon,11196.01927,No,Extended,College,10/1/2011,Employed,F,75457,Rural,Married,93,0,79,0,2,Personal Auto,Personal L3,Offer1,Agent,151.572213,Four-Door Car,Medsize
4267,TL51969,Washington,7334.915821,No,Basic,Bachelor,12/1/2011,Employed,M,30969,Suburban,Divorced,63,26,79,1,2,Personal Auto,Personal L3,Offer1,Call Center,358.225234,Two-Door Car,Small
3965,ZL68596,Arizona,8849.689719,No,Basic,Master,3/2/2011,Employed,M,53228,Rural,Married,73,26,33,0,2,Special Auto,Special L1,Offer2,Branch,137.195447,Four-Door Car,Medsize
7827,DH14632,Oregon,8750.222052,No,Basic,College,1/20/11,Employed,F,34695,Rural,Single,113,1,60,0,5,Personal Auto,Personal L3,Offer1,Call Center,100.323765,SUV,Small
1637,BC97773,Nevada,2864.544017,No,Basic,Master,2/17/11,Employed,F,91368,Suburban,Divorced,71,13,95,0,1,Personal Auto,Personal L1,Offer1,Agent,395.328407,Four-Door Car,Large
4243,LO17461,Arizona,2885.742441,No,Basic,High School or Below,2/16/11,Employed,F,35654,Suburban,Married,72,17,19,0,1,Personal Auto,Personal L1,Offer2,Branch,515.122954,Two-Door Car,Small
2020,KN25124,Oregon,2456.816647,No,Basic,Master,9/1/2011,Employed,F,50979,Urban,Married,61,25,45,1,1,Personal Auto,Personal L2,Offer1,Branch,262.842655,Two-Door Car,Medsize
7650,ZK58906,California,16589.71237,No,Premium,Bachelor,2/1/2011,Employed,M,59414,Rural,Married,140,34,56,0,2,Personal Auto,Personal L3,Offer1,Call Center,65.022258,SUV,Medsize
7938,PG20605,Arizona,9321.284825,No,Basic,College,2/1/2011,Unemployed,M,0,Suburban,Single,64,26,99,0,2,Personal Auto,Personal L3,Offer3,Agent,572.522796,Four-Door Car,Large
4071,MF74413,Oregon,9657.579498,Yes,Extended,High School or Below,1/31/11,Unemployed,M,0,Suburban,Married,131,34,61,0,9,Personal Auto,Personal L3,Offer1,Agent,628.8,SUV,Medsize
3757,XI58886,California,2795.546288,No,Basic,High School or Below,9/1/2011,Employed,M,69809,Rural,Married,70,0,60,0,1,Personal Auto,Personal L1,Offer2,Branch,111.823103,Two-Door Car,Medsize
5487,JL86651,Nevada,11785.04181,No,Premium,College,1/27/11,Employed,M,90016,Rural,Married,102,28,34,4,2,Personal Auto,Personal L2,Offer1,Web,20.405935,Four-Door Car,Medsize
8353,MZ84108,Arizona,9853.773193,No,Extended,Bachelor,2/1/2011,Employed,M,44006,Urban,Single,130,18,26,0,4,Personal Auto,Personal L3,Offer1,Branch,494.664784,Sports Car,Medsize
5484,DO83789,Arizona,5206.028448,No,Basic,College,2/2/2011,Employed,F,71661,Suburban,Married,65,7,92,0,4,Personal Auto,Personal L3,Offer4,Branch,312.0,Four-Door Car,Small
6889,ZB87718,Arizona,8714.922135,Yes,Basic,College,2/21/11,Unemployed,F,0,Suburban,Divorced,118,14,64,0,4,Personal Auto,Personal L1,Offer1,Agent,566.4,SUV,Medsize
186,UF46533,California,4574.524094,No,Basic,College,1/30/11,Employed,F,99316,Suburban,Single,114,26,53,0,1,Corporate Auto,Corporate L3,Offer2,Branch,754.358929,SUV,Medsize
6077,WN91943,California,12948.39854,No,Premium,College,1/21/11,Employed,M,30763,Suburban,Single,111,28,19,0,2,Personal Auto,Personal L1,Offer1,Agent,1072.532443,Four-Door Car,Medsize
4493,UD27331,Nevada,3241.838403,No,Extended,Bachelor,1/1/2011,Employed,M,33701,Suburban,Single,88,14,22,3,1,Personal Auto,Personal L3,Offer1,Agent,460.815578,Four-Door Car,Medsize
5888,IN78205,Arizona,8329.039004,No,Basic,College,1/23/11,Unemployed,F,0,Suburban,Single,118,18,9,0,3,Personal Auto,Personal L1,Offer1,Agent,849.6,SUV,Medsize
7651,SQ70457,Oregon,23331.829,No,Basic,Bachelor,2/1/2011,Employed,M,44719,Suburban,Single,66,6,55,0,2,Personal Auto,Personal L2,Offer2,Branch,316.8,Four-Door Car,Medsize
3299,CA70404,California,6104.849081,No,Extended,High School or Below,4/2/2011,Employed,M,62455,Urban,Married,77,27,85,1,5,Personal Auto,Personal L2,Offer2,Branch,338.144854,Two-Door Car,Small
6271,CG39505,Oregon,7251.331956,No,Basic,Bachelor,1/28/11,Disabled,M,18665,Suburban,Divorced,66,9,13,0,2,Personal Auto,Personal L3,Offer1,Web,583.278307,Four-Door Car,Medsize
550,MY64920,Oregon,9217.130629,No,Basic,College,2/27/11,Employed,F,73259,Suburban,Married,115,7,31,0,4,Personal Auto,Personal L2,Offer4,Web,673.34265,SUV,Medsize
4364,XR85926,Oregon,8012.365866,No,Basic,Bachelor,1/27/11,Employed,M,58058,Suburban,Married,67,28,49,0,2,Personal Auto,Personal L1,Offer2,Call Center,355.198918,Four-Door Car,Medsize
3205,YE45848,California,8026.278333,No,Extended,Bachelor,7/2/2011,Employed,F,87421,Suburban,Married,99,21,6,0,6,Corporate Auto,Corporate L2,Offer1,Branch,475.2,Two-Door Car,Medsize
3106,NT78297,Oregon,7517.378484,No,Extended,Bachelor,1/31/11,Employed,F,37695,Suburban,Single,96,17,3,0,3,Personal Auto,Personal L2,Offer1,Branch,460.8,Two-Door Car,Small
1679,UY95530,California,8658.863813,Yes,Basic,College,7/2/2011,Employed,M,62464,Urban,Married,109,23,45,0,4,Personal Auto,Personal L2,Offer2,Agent,400.181882,Sports Car,Medsize
5824,BL44722,Nevada,41787.90343,Yes,Premium,High School or Below,1/31/11,Employed,F,46587,Suburban,Divorced,119,34,74,2,2,Personal Auto,Personal L2,Offer1,Call Center,571.2,Four-Door Car,Medsize
732,WK88044,Arizona,8737.837514,No,Basic,Bachelor,2/13/11,Employed,M,61281,Rural,Married,110,7,16,0,7,Personal Auto,Personal L3,Offer1,Agent,79.865605,SUV,Medsize
1370,HM20544,Washington,2175.740021,No,Basic,College,5/2/2011,Unemployed,F,0,Suburban,Single,61,31,15,0,1,Personal Auto,Personal L3,Offer1,Web,479.097472,Four-Door Car,Medsize
5576,QD98396,California,5010.917847,No,Extended,College,2/21/11,Employed,M,45867,Suburban,Married,126,31,12,0,1,Personal Auto,Personal L2,Offer1,Agent,604.8,Sports Car,Medsize
5480,GK98989,Washington,5625.908671,No,Extended,Bachelor,1/17/11,Unemployed,M,0,Suburban,Single,85,34,31,0,3,Corporate Auto,Corporate L3,Offer2,Call Center,872.203927,Four-Door Car,Small
6050,KA98111,Washington,2513.117202,No,Basic,Bachelor,2/14/11,Employed,M,22475,Suburban,Married,64,25,40,1,1,Personal Auto,Personal L3,Offer2,Agent,307.2,Four-Door Car,Large
1359,PS69748,Washington,8717.049833,Yes,Basic,College,2/14/11,Employed,M,83846,Suburban,Married,74,22,94,3,2,Personal Auto,Personal L3,Offer2,Agent,355.2,Four-Door Car,Large
782,WM65373,California,8002.308333,Yes,Basic,College,11/1/2011,Unemployed,F,0,Suburban,Married,107,3,65,0,3,Corporate Auto,Corporate L3,Offer1,Agent,513.6,SUV,Medsize
8835,HK40573,California,14382.56463,No,Extended,College,8/1/2011,Employed,M,52174,Urban,Married,121,22,25,0,2,Personal Auto,Personal L2,Offer1,Call Center,403.737293,SUV,Medsize
172,QR87004,Nevada,8456.961887,No,Basic,College,9/1/2011,Employed,F,25141,Rural,Divorced,73,12,4,1,2,Personal Auto,Personal L3,Offer3,Agent,25.438063,Four-Door Car,Medsize
7393,PA90653,Oregon,21578.86035,No,Basic,Bachelor,2/14/11,Unemployed,F,0,Suburban,Married,72,20,11,0,2,Corporate Auto,Corporate L3,Offer1,Agent,510.976913,Two-Door Car,Small
2486,WF51811,Arizona,2719.506996,Yes,Basic,College,1/24/11,Retired,F,14030,Suburban,Married,72,11,3,0,1,Personal Auto,Personal L2,Offer2,Branch,345.6,Two-Door Car,Large
